time;SlideAdjustment
2023-01-02 06:06:00.144 CET;1425
2023-01-02 06:19:20.329 CET;1193
2023-01-02 11:37:23.565 CET;1195
2023-01-02 20:20:38.019 CET;1199,2
2023-01-02 23:14:18.655 CET;1197
2023-01-03 06:37:36.944 CET;1125
2023-01-03 19:31:12.428 CET;1177,6
2023-01-03 21:21:14.805 CET;1125
2023-01-04 00:50:47.046 CET;1197,5
2023-01-04 09:35:53.946 CET;1450
2023-01-04 14:10:22.753 CET;977
2023-01-05 02:01:29.256 CET;1097,8
2023-01-05 05:43:45.549 CET;1097
2023-01-05 08:00:54.431 CET;1096,5
2023-01-05 11:01:52.822 CET;975
2023-01-05 17:26:54.148 CET;1257
2023-01-05 20:20:19.723 CET;975
2023-01-06 00:38:14.568 CET;1175,5
2023-01-06 03:53:54.484 CET;1377,5
2023-01-09 08:54:21.131 CET;1193
2023-01-09 14:15:09.040 CET;1197
2023-01-09 18:44:24.605 CET;1093
2023-01-09 22:51:12.769 CET;1097
2023-01-10 01:54:18.668 CET;1195
2023-01-10 10:39:33.638 CET;977
2023-01-11 01:51:56.387 CET;975
2023-01-11 09:25:49.220 CET;1378
2023-01-11 10:31:23.937 CET;975
2023-01-11 16:20:23.634 CET;1450
2023-01-12 04:44:46.125 CET;1096
2023-01-12 11:35:32.617 CET;1125
2023-01-12 15:57:16.368 CET;1377
2023-01-12 18:34:45.132 CET;1125
2023-01-12 21:09:55.355 CET;1197,5
2023-01-13 06:23:36.115 CET;1097
2023-01-13 14:56:26.086 CET;1096,5
2023-01-13 17:08:01.644 CET;1375
2023-01-13 23:44:05.617 CET;1197
2023-01-16 10:59:04.994 CET;1195
2023-01-16 22:22:02.736 CET;975
2023-01-17 03:10:56.017 CET;1097
2023-01-17 13:38:03.388 CET;1197,5
2023-01-17 19:18:34.035 CET;975
2023-01-18 11:01:20.099 CET;1097
2023-01-18 11:27:27.358 CET;1125
2023-01-18 18:26:55.940 CET;1377
2023-01-18 20:02:37.891 CET;1125
2023-01-19 02:34:21.818 CET;977
2023-01-19 03:16:25.911 CET;977,5
2023-01-19 03:37:52.052 CET;977
2023-01-19 10:08:25.707 CET;1177,7
2023-01-19 12:00:49.650 CET;977
2023-01-19 17:30:48.775 CET;1097,8
2023-01-19 19:33:38.229 CET;1450
2023-01-19 19:34:24.418 CET;1097,8
2023-01-19 19:34:30.440 CET;1142
2023-01-19 19:41:08.022 CET;1450
2023-01-20 00:24:08.888 CET;1197,5
2023-01-20 04:30:45.013 CET;1197
2023-01-20 12:09:57.127 CET;1194
2023-01-20 15:16:20.806 CET;1093
2023-01-20 20:16:44.836 CET;1096
2023-01-21 01:55:29.062 CET;1097
2023-01-21 04:08:16.903 CET;1125
2023-01-21 15:05:22.453 CET;1046
2023-01-21 15:11:28.918 CET;974
2023-01-21 16:25:44.721 CET;972
2023-01-21 16:41:36.529 CET;971
2023-01-21 17:57:13.651 CET;972
2023-01-21 20:29:39.190 CET;975
2023-01-24 15:58:54.905 CET;1096,5
2023-01-24 21:00:00.101 CET;1450
2023-01-25 00:17:24.417 CET;1195
2023-01-25 10:19:03.673 CET;972
2023-01-25 14:37:00.528 CET;1257
2023-01-25 16:40:58.250 CET;1125
2023-01-25 16:44:50.177 CET;1200
2023-01-25 16:48:31.053 CET;1125
2023-01-25 22:22:32.131 CET;1197,5
2023-01-26 10:44:54.118 CET;1097
2023-01-26 13:19:49.273 CET;1093
2023-01-26 16:29:37.780 CET;1378
2023-01-26 18:18:48.953 CET;1197
2023-01-27 09:42:40.469 CET;1096
2023-01-27 13:40:21.450 CET;1197,5
2023-01-27 19:15:04.710 CET;1177,6
2023-01-28 10:42:21.016 CET;1220
2023-01-30 06:22:30.124 CET;1177,6
2023-01-30 09:07:37.710 CET;1193
2023-01-30 09:12:49.956 CET;1425
2023-01-30 09:13:02.005 CET;1190
2023-01-30 09:15:43.653 CET;1425
2023-01-30 09:16:11.763 CET;1193
2023-01-30 17:26:45.362 CET;1097
2023-01-30 19:31:47.339 CET;1096,5
2023-01-31 19:26:30.285 CET;1450
2023-01-31 22:40:15.730 CET;1195
2023-02-01 06:26:59.634 CET;1197,5
2023-02-01 11:11:33.857 CET;975
2023-02-01 22:08:14.305 CET;977
2023-02-02 08:50:07.197 CET;1197
2023-02-02 15:02:15.426 CET;1097,8
2023-02-02 18:33:08.986 CET;1450
2023-02-02 21:30:56.614 CET;1199,2
2023-02-03 01:33:28.759 CET;1125
2023-02-03 23:37:01.079 CET;1197,5
2023-02-04 00:32:36.361 CET;0
2023-02-04 00:32:39.930 CET;1197,5
2023-02-04 00:32:47.450 CET;0
2023-02-04 00:33:17.581 CET;1197,5
2023-02-06 10:48:31.451 CET;1450
2023-02-06 10:48:49.523 CET;1197,5
2023-02-06 10:48:55.542 CET;1278
2023-02-06 10:51:34.177 CET;1450
2023-02-07 19:22:02.723 CET;1097
2023-02-07 21:32:54.098 CET;1093
2023-02-07 23:01:41.371 CET;1145
2023-02-07 23:13:10.121 CET;1093
2023-02-08 04:36:37.677 CET;977
2023-02-08 10:50:07.216 CET;1377,5
2023-02-08 13:53:14.115 CET;977
2023-02-08 19:16:12.551 CET;1096,5
2023-02-08 21:31:37.013 CET;1096
2023-02-09 03:04:41.861 CET;1197,5
2023-02-09 08:50:49.846 CET;1195
2023-02-09 09:29:33.131 CET;1290
2023-02-09 09:45:33.969 CET;1195
2023-02-09 13:01:35.963 CET;1378,8
2023-02-09 14:22:18.313 CET;1195
2023-02-09 20:13:21.484 CET;1197
2023-02-10 03:55:51.365 CET;1097
2023-02-10 06:33:21.131 CET;1379
2023-02-10 08:17:10.017 CET;1379,2
2023-02-10 13:02:41.477 CET;1450
2023-02-10 18:12:16.694 CET;975
2023-02-10 22:33:21.285 CET;1097
2023-02-11 03:22:38.644 CET;1148
2023-02-11 03:30:27.516 CET;1377
2023-02-11 03:30:53.625 CET;1450
2023-02-11 03:40:05.828 CET;1377
2023-02-13 12:49:12.882 CET;1197,5
2023-02-13 19:22:52.262 CET;1125
2023-02-14 05:34:44.966 CET;975
2023-02-14 17:06:33.845 CET;1096,5
2023-02-14 17:27:20.819 CET;1093
2023-02-14 17:31:45.875 CET;1096,5
2023-02-14 19:25:30.151 CET;1093
2023-02-15 03:23:24.716 CET;1377
2023-02-15 04:32:42.346 CET;1379,2
2023-02-15 13:30:30.288 CET;1097,8
2023-02-15 18:02:54.604 CET;1096
2023-02-15 23:01:39.236 CET;1125
2023-02-15 23:13:43.125 CET;1120
2023-02-15 23:21:07.905 CET;1045
2023-02-15 23:38:09.979 CET;1045,5
2023-02-15 23:52:06.328 CET;1045
2023-02-15 23:52:43.476 CET;1046
2023-02-15 23:55:47.213 CET;1047
2023-02-16 04:39:46.299 CET;1450
2023-02-16 09:23:31.341 CET;1194
2023-02-16 13:16:04.092 CET;977
2023-02-17 05:21:12.512 CET;1193
2023-02-17 07:33:59.352 CET;977
2023-02-17 08:40:18.260 CET;1193
2023-02-17 12:10:01.551 CET;1195
2023-02-17 22:30:37.351 CET;1197,5
2023-02-18 03:29:31.019 CET;975
2023-02-20 16:16:02.256 CET;1097
2023-02-20 19:18:07.924 CET;1197
2023-02-21 11:17:37.963 CET;1450
2023-02-21 15:07:10.006 CET;1097
2023-02-21 17:33:13.023 CET;1097,8
2023-02-21 20:34:08.430 CET;1096,5
2023-02-22 06:47:58.561 CET;1093
2023-02-22 15:25:00.526 CET;1197,5
2023-02-22 19:52:04.565 CET;1175,5
2023-02-23 03:12:39.206 CET;1257
2023-02-23 08:40:07.451 CET;1257
2023-02-23 08:57:24.153 CET;1257
2023-02-23 08:58:15.982 CET;1257
2023-02-23 09:15:19.553 CET;1257
2023-02-23 09:16:39.983 CET;1257
2023-02-23 09:17:14.322 CET;1257
2023-02-23 09:17:29.262 CET;1257
2023-02-23 09:20:51.835 CET;1257
2023-02-23 09:34:18.069 CET;1257
2023-02-23 09:35:50.688 CET;1257
2023-02-23 09:40:17.328 CET;1257
2023-02-23 09:40:50.605 CET;1257
2023-02-23 09:43:04.209 CET;1257
2023-02-23 09:43:41.559 CET;1257
2023-02-23 09:51:29.756 CET;1257
2023-02-23 09:51:29.808 CET;1257
2023-02-23 10:14:47.973 CET;1257
2023-02-23 10:21:13.967 CET;1096
2023-02-23 11:02:59.029 CET;1096
2023-02-23 11:02:59.081 CET;1096
2023-02-23 11:05:06.588 CET;1096
2023-02-23 11:05:06.638 CET;1096
2023-02-23 11:06:18.926 CET;1096
2023-02-23 11:06:39.595 CET;1096
2023-02-23 11:06:39.647 CET;1096
2023-02-23 13:00:23.191 CET;1096
2023-02-23 14:47:18.357 CET;1096
2023-02-23 14:47:18.407 CET;1096
2023-02-23 14:55:11.005 CET;1096
2023-02-23 15:00:12.484 CET;1096
2023-02-23 15:01:54.526 CET;1096
2023-02-23 15:16:02.418 CET;1096
2023-02-23 15:52:19.346 CET;1047
2023-02-23 22:33:22.509 CET;1257
2023-02-24 08:46:53.621 CET;1377
2023-02-24 11:59:10.732 CET;1195
2023-02-24 19:17:24.815 CET;1377,5
2023-02-24 23:31:56.842 CET;1294,1
2023-02-24 23:34:12.391 CET;1265
2023-02-24 23:39:48.727 CET;1196
2023-02-24 23:44:26.842 CET;1195,5
2023-02-24 23:44:51.941 CET;1195,2
2023-02-25 23:05:32.776 CET;1275
2023-02-26 00:04:26.894 CET;1195,2
2023-02-27 08:41:12.520 CET;1195,2
2023-02-27 13:22:16.094 CET;1450
2023-02-27 17:43:45.039 CET;1197,5
2023-02-27 21:45:19.987 CET;1450
2023-02-28 00:49:07.032 CET;975
2023-02-28 06:27:56.269 CET;1195,2
2023-02-28 10:43:50.615 CET;1375
2023-02-28 19:08:23.569 CET;975
